List of Valid Insurance Brokers as on 15.05.2021,,,,,,,,,,
Sl No,"Certificate of 
Registration No.",,Name of the Broker,Address,Phone No,Category of Broker,Principal Officer,Validity of license,,PO E-Maild Id
,,,,,,,,From,To,
1,101,,India Insure Risk Management and Insurance Broking Services Pvt Ltd,"405, Archana Arcade 4th Floor St.Jhon's Road  Secunderabad SECUNDERABAD HYDERABAD 500025",4027822990,Composite Broker,Kedareswar. K,30-Jan-2021,29-Jan-2024,po_indiainsure@indiainsure.com
2,102,,ACME Insurance Broking Services P. Ltd.,"3A,3rd Floor,JAMALS 17JAGANNATHAN ROAD  NUNGAMBAKKAM CHENNAI CHENNAI 600034",4428240520,Composite Broker,VIKRAM INJETI,30-Jan-2021,29-Jan-2024,vikram@acmeresource.com
3,104,,Bharat Re- Insurance Brokers Pvt. Ltd.,"No 12 poes road, teynampet  chennai CHENNAI CITY CORPORATION CHENNAI 600018",4443418700,Composite Broker,VIJAY T,30-Jan-2021,29-Jan-2024,po.bharatre@bharatre.in
4,105,,Helios Insurance Broking Services Pvt. Ltd,"Helios House 75-B,Site-II  Road No.10,Filmnagar, Jubilee Hills HYDERABAD HYDERABAD 500033",9885051710,Direct Broker (Life & General),C.V.Ramana Reddy,30-Jan-2021,29-Jan-2024,po@heliosinsurance.com
5,106,,First Policy Insurance Brokers Pvt. Ltd.,"7, Soormani D.P.Road  Aundh PUNE PUNE 411007",0266073200,Composite Broker,Mr. Sachin Jain,30-Jan-2021,29-Jan-2024,po_firstpolicy@firstpolicy.com
6,107,,EXCELLENT INSURANCE BROKING SERVICES LIMITED,"8-2-269/LM/301&302 III Floor, Lumbini Mall  Road No.2, Banjara Hills HYDERABAD HYDERABAD 500034",9849699512,Composite Broker,A.MADHUSUDHANARAO,30-Jan-2021,29-Jan-2024,po_excellent@eibroking.com
7,108,,K.M. Dastur Reinsurance Brokers Pvt. Ltd.,"Cambata Building 42, Maharishi Karve Road   MUMBAI MUMBAI 400012",9849796909,Composite Broker,T Purushotham Reddy,30-Jan-2021,29-Jan-2024,purushotham@kmdastur.com
8,110,,Unicorn Insurance Brokers Pvt. Ltd.,431/64/2 FIRST FLOOR LDA ESTATE  KEWAL PARK EXTENSION AZADPUR  DELHI DELHI NORTH NORTH DELHI 110033,9910396956,Direct Broker (Life & General),Manisha Narang,30-Jan-2021,29-Jan-2024,unicorninsurancebrokers@gmail.com
9,111,,Tower Insurance & Reinsurance Brokers (India) Pvt. Ltd.,"519, Maker Chambers V Nariman Point   MUMBAI MUMBAI 400021",9869447553,Composite Broker,Mr. Sanjeev Joshi,30-Jan-2021,29-Jan-2024,po_tower@towerbrokerindia.com
10,113,,"Suprasesh General Insurance Services & Brokers Pvt Ltd,","6L&M Sixth Floor Century Plaza  560-562 Anna Salai, Teynampet CHENNAI CHENNAI 600018",4424349332,Composite Broker,Hemalatha Narayanan,18-Feb-2021,17-Feb-2024,chennai@suprasesh.com
11,115,,Mankad & Associates Insurance Broking Pvt. Ltd.,"301, B WING PRAMUKH PLAZA CARDINAL GRAICAS ROAD  CHAKALA ANDHERI EAST MUMBAI CITY EAST MUMBAI 400099",9820098229,Composite Broker,MR KUSHAL SENGUPTA,18-Feb-2021,17-Feb-2024,po_mankad@mankadinsure.com
12,116,,LMB Ins. Brokers Pvt. Ltd.,"LMB INSURANCE BROKERS PVT LTD , SREERANGAM , KADAKARAPPALLY , CHERTHALA P, , ALAPHUZHA       ",04712430306,Composite Broker,Mrs.Dr Jayasree Vallabhan,18-Feb-2021,17-Feb-2024,po_lmbinsbroker@yahoo.in
13,117,,A&M Ins. Brokers Pvt. Ltd.,NINE ZERO THEE VIKRANT  TOWER NEW DELHI CENTRAL DELHI 110008,9818175701,Direct Broker (Life & General),Manisha Mahajan,18-Feb-2021,17-Feb-2024,po_aandm@insurancepandit.com
14,118,,Pioneer Insurance & Reinsurance Brokers Pvt Ltd.,"1219, Maker Chambers V,Nariman Point        ",,Composite Broker,SATHISH MATHUR,24-Feb-2021,23-Feb-2024,po_pioneer@pinc.co.in
15,119,,Global Insurance Brokers Private Limited,"A  Wing, 5th Floor, One Forbes,  Dr V. B Gandhi Marg,  Fort MUMBAI MUMBAI 400001",2266560505,Composite Broker,Rashmi Iyer,03-Mar-2021,02-Mar-2024,po.global@globalinsurance.co.in
